,MUV-548,mol_id,smiles
181,0.0,CID651501,CN1CCN(c2c[nH]c(=O)[nH]c2=O)CC1
183,0.0,CID3237977,Cc1c(C(=O)NCCCN2CCOCC2)sc2nc(-c3ccc(F)cc3)cn12
185,0.0,CID974498,CNC(=O)c1cc2cccc(OC)c2oc1=O
186,0.0,CID2254375,COc1ccccc1NC(=O)CSc1ncn[nH]1
188,0.0,CID3241318,Cn1c2ccccc2c2c(C(=O)NCC3CCCO3)cn(C3CCCC3)c(=O)c21
189,0.0,CID3241310,CCn1c(=O)cc(SCC(=O)Nc2ccc3c(c2)OCCO3)c2ccccc21
190,0.0,CID3241316,Cc1nc2ccc(S(=O)(=O)NCC(=O)NCCN3CCCCC3C)cc2s1
191,0.0,CID2813183,CCOC(=O)C1CCN(C(=O)c2c(-c3c(F)cccc3Cl)noc2C)CC1
192,0.0,CID879197,O=C(Nc1ccccc1C(=O)N1CCOCC1)c1ccncc1
193,0.0,CID645015,CCN(CC)S(=O)(=O)c1ccccc1/C=N/O
194,0.0,CID645014,CCCOc1ccc(-c2nnn(CC(=O)Nc3cccc(C(=O)OC)c3)n2)cc1
196,0.0,CID973141,O=C(CSc1ncn[nH]1)c1ccc2c(c1)OCO2
197,0.0,CID973140,Cc1c(NC(=O)NCc2ccccc2)c(=O)n(-c2ccccc2)n1C
198,0.0,CID2999408,COCC(C)n1c(COc2ccccc2F)nnc1SCc1c(C)noc1C
199,0.0,CID2999404,CC(Sc1nncs1)C(=O)NCc1ccc2c(c1)OCO2
200,0.0,CID734374,Cc1cc(C)c2c(N)c(C(=O)NCc3ccco3)sc2n1
201,0.0,CID747391,CCOC(=O)c1sc(NC(=O)c2ccco2)nc1-c1ccccc1
202,0.0,CID648145,c1ccn(-c2ncnc3sc4c(c23)CCCC4)c1
208,0.0,CID665581,CC1S/C(=C(\C#N)C(=O)NCc2ccco2)N(c2ccc(F)cc2)C1=O
209,0.0,CID665580,Cc1ccc2c(c1)c1ncnc(N3CCOCC3)c1n2C
212,0.0,CID2142318,CC(=O)Oc1cc2c(C(=O)NCCN3CCOCC3)c(C)oc2c2ccccc12
214,0.0,CID762995,Cc1cc(C)n(-c2cc(-n3nc(C)cc3C)ncn2)n1
218,0.0,CID650479,CCOC(=O)CSc1nc2cc(OCC)ccc2cc1C#N
219,0.0,CID650476,Cc1cc(S(=O)(=O)N(Cc2ccccc2)Cc2ccc(N(C)C)cc2)ccc1-n1cnnn1
220,0.0,CID650470,Cn1c(Cl)cnc1C(O)c1ccccc1
221,0.0,CID5309417,COc1ccc(NC(=O)C2CCCCN2S(=O)(=O)c2ccc(F)cc2)cc1
223,0.0,CID1881562,COc1cccc(N2CCN(c3ncnc4c3cnn4-c3ccc(C)cc3C)CC2)c1
224,0.0,CID654200,Cc1cc(NC(=O)CSc2nnc3c(C)cc4ccccc4n23)no1
227,0.0,CID663326,COc1ccccc1-c1nn2c(-c3ccc(C(C)(C)C)cc3)nnc2s1
230,0.0,CID663329,C=CCn1c(SCC(=O)Nc2cc(C)cc(C)c2)nnc1-c1cnccn1
231,0.0,CID648967,CCN(CC)C(=O)CSc1nnc(-c2cc(OC)cc(OC)c2)o1
232,0.0,CID648961,CC1(C)NC(=O)N(CC(O)CN2C(=O)NC(C)(C)C2=O)C1=O
233,0.0,CID3239927,Cc1oc(-c2ccccc2F)nc1CN1CCC(C(=O)NCc2cccs2)CC1
235,0.0,CID655156,c1cncc(-c2nnc(-c3cccs3)o2)c1
237,0.0,CID655153,CCc1c(C)nc(N)n2c(SCC(=O)N3CCCC(C)C3)nnc12
238,0.0,CID647882,Cc1ccc2nc(Nc3nc(=O)c4ccccc4n3C)nc(C)c2c1
239,0.0,CID647883,CS(=O)(=O)Nc1ccccc1C(=O)N1CCCC1
240,0.0,CID647884,CCOCCCNC(=O)C1CCCN1C(=O)NC1CCCCC1
242,0.0,CID756749,CCOc1ccc(-n2c(SC)nc3c(c2=O)SCC3)cc1
243,0.0,CID2547736,CCOC(=O)c1c(C)oc(NC(=O)COc2ccc(Cl)cc2C)c1C#N
244,0.0,CID649137,CCn1c(SCC(=O)Nc2sc(C)c(C)c2C#N)nnc1C(C)C
247,0.0,CID665913,CCc1ccc2oc(=O)cc(CN3CCN(CCO)CC3)c2c1
248,0.0,CID573743,O=C(Nc1cccc2nsnc12)c1cccs1
249,0.0,CID573742,O=C(Nc1ccc2nsnc2c1)c1cccs1
250,0.0,CID5282230,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
251,0.0,CID711393,O=S(=O)(/C=C/c1ccccc1)Nc1ccc(N2CCOCC2)cc1
252,0.0,CID644519,c1ccc(CCn2nnnc2C(c2cccs2)N2CCOCC2)cc1
253,0.0,CID644510,O=c1[nH]c2cc3c(cc2cc1CN(CCCO)Cc1nnnn1Cc1ccc(F)cc1)OCO3
254,0.0,CID644513,O=C(NC1CCCCCC1)c1nc2ncccn2n1
256,0.0,CID644514,CCCCCn1c(N2CCC(C(N)=O)CC2)nc2c1c(=O)[nH]c(=O)n2C
258,0.0,CID2295879,N#CCCCSc1nnc(-c2ccc(Cl)cc2)n1-c1ccccc1
259,0.0,CID649138,Cc1cc(C)n(CC(=O)N(C2CCCCC2)C2CCCCC2)n1
261,0.0,CID2970466,NC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCC2
262,0.0,CID3244539,Cn1cc(/C=N/n2cnc3scc(-c4ccccc4)c3c2=O)c2ccccc21
263,0.0,CID3244538,COCCn1c(=O)[nH]c2cc(C(=O)NC(C)C)ccc2c1=O
264,0.0,CID3241665,Cc1cc(NC(=O)CSc2nccn2-c2ccc(Cl)cc2)no1
265,0.0,CID65549,CCNC(=O)c1nc[nH]c1C(=O)NCC
266,0.0,CID3242319,Cc1ccc(Cl)cc1N1CCN(C(=O)C2CCN(S(=O)(=O)c3cnc[nH]3)CC2)CC1
268,0.0,CID662265,CC(C)OCCCn1c(=N)c(C(N)=S)cc2c(=O)n3ccccc3nc21
272,0.0,CID662327,Cc1ccc(OCC(=O)N(Cc2ccc(N(C)C)cc2)C2CCS(=O)(=O)C2)cc1
273,0.0,CID657801,CCCCOC(=O)n1c(=O)oc2ccccc21
274,0.0,CID662322,CC(C)OC(=O)CSc1nnc(-c2ccncc2)n1N
275,0.0,CID867565,C(=N/n1cnnc1)\c1cn(Cc2ccccc2)c2ccccc12
276,0.0,CID867564,O=C(Nc1nc2ccccc2n1Cc1ccccc1)c1ccco1
277,0.0,CID1164165,COc1ccccc1NC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1
278,0.0,CID656059,O=C1/C(=N\n2cnnc2)c2ccccc2N1Cc1ccccc1
279,0.0,CID656058,COc1cc(NC(=O)Cn2nnc(-c3ccncc3)n2)cc(OC)c1
280,0.0,CID685920,Cc1c(C(=O)N2CCCCC2)sc(N)c1C#N
281,0.0,CID973892,O=C(CSC1=NCCS1)Nc1ccnc2ccccc12
282,0.0,CID973891,Cc1ccc(Nc2nc(=O)c3cccnc3s2)cc1
283,0.0,CID2196012,Cc1ccc(C(=O)NCc2nnc(SCC(=O)Nc3sc4c(c3C#N)CCCC4)n2C)cc1
284,0.0,CID2064344,C=CCn1c(Cc2csc(N)n2)nnc1SCC(=O)Nc1ccc(C(=O)OCC)cc1
285,0.0,CID3244344,CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(C)cn2)c1C
287,0.0,CID654777,Cc1ccc2nc(NCCO)nc(-c3ccccc3)c2c1
289,0.0,CID5307537,Cn1c(Cn2c(=O)sc3ccccc32)nnc1SCC(=O)NCC1CCCO1
290,0.0,CID5307536,c1ccc2c(c1)nc(NC1CCCCC1)c1nncn12
292,0.0,CID5308211,CCOC(=O)N1CCC(N2C(=O)c3ccccc3C2Nc2cccnc2)CC1
293,0.0,CID1246132,O=C(NCCN1CCCCC1)Nc1ccc(F)c(Cl)c1
295,0.0,CID655423,CC(=O)NC(Cc1ccccc1)C(=O)N1CCN(C(=O)c2cccs2)CC1
297,0.0,CID655421,CCOc1ccc(-c2nnc(-c3cccnc3)o2)cc1OCC
298,0.0,CID655429,CCOc1nc(-c2ccccc2)ccc1-c1noc(COC)n1
300,0.0,CID2956922,O=C(NC12CC3CC(CC(C3)C1)C2)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1
301,0.0,CID649176,O=C(CSc1nnnn1C1CCCC1)N1CCN(C(=O)c2ccco2)CC1
305,0.0,CID3239615,COc1ccc(NC(=O)CCCn2c(=O)[nH]c3ccccc3c2=O)cc1
306,0.0,CID666955,O=C(CSc1nnc(C2CCCN2)o1)c1ccc(Cl)cc1
307,0.0,CID666950,COc1cc2c(cc1OC)CN(C(=O)C1(c3ccccc3)CC1)CC2
308,0.0,CID970527,Cc1cc(CNC(=O)Nc2ccc3c(c2)OCO3)nn1C
309,0.0,CID3239376,Cc1nc(C)c(C(=O)Nc2ccc(C)c(F)c2)o1
310,0.0,CID1265763,CCN1CCN(c2ncnc3c2sc(=S)n3-c2ccccc2)CC1
313,0.0,CID4046983,COc1ccc(C)cc1NC(=O)c1cnc2scc(C)n2c1=O
314,0.0,CID2999984,CCn1c(CSc2nnc(-c3ccoc3C)n2C)nc2cc(S(=O)(=O)N(C)C)ccc21
316,0.0,CID663824,Cc1ccccc1-n1nc(C)c2cc(C(=O)NCc3cccnc3)sc21
317,0.0,CID661670,O=C(O)CCSc1ccc2ccccc2n1
318,0.0,CID2879267,CC1=C(C(=O)Nc2ccccc2)C(c2ccccc2)N2C(=O)CSC2=N1
319,0.0,CID649917,Cc1ccc2c(c1)nnn2C1CCN(C(=O)NC23CC4CC(CC(C4)C2)C3)CC1
320,0.0,CID751798,COc1cc(OC)nc(NC(=O)CSc2nc3ccccc3[nH]2)n1
321,0.0,CID3241732,N#CCSc1nc2ccccc2c(=O)n1CCC(=O)NCCc1ccccc1
322,0.0,CID4327076,CCOc1ccc(NC(=O)c2cnc3scc(C)n3c2=O)cc1
323,0.0,CID729956,O=c1nc(SCc2ccccc2Cl)[nH]c2c1CCC2
324,0.0,CID667237,Cc1cc2c(c(=O)n1CCCn1ccnc1)C(c1ccco1)C(C#N)=C(N)O2
325,0.0,CID652909,Cc1occc1-c1nnc(SCC(=O)N2CC(=O)Nc3ccccc32)n1CC(C)C
327,0.0,CID1251508,COC(=O)CSc1nc(NCC(C)C)nc(N2CCOCC2)n1
328,0.0,CID2107229,COC(=O)c1ccc(CSc2nnc3sc4ccccc4n23)o1
329,0.0,CID666543,CC1(C)NC(=O)N(c2ccccc2Cl)C1(C)NO
330,0.0,CID3235988,O=S(=O)(c1cnc[nH]1)N1CCCCCC1
335,0.0,CID712744,c1ccc(-n2nnnc2-n2cnc3ccccc32)cc1
336,0.0,CID712745,Cn1c(=O)c2c(ncn2CC(=O)NC(C)(C)C)n(C)c1=O
337,0.0,CID2169492,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(c2ncccn2)CC1
338,0.0,CID719029,Cc1cc(C)n2nc(SCC(=O)N(C)c3ccccc3)nc2n1
340,0.0,CID3237663,Cc1cccc2sc(NC(=O)C3CCCN(S(=O)(=O)c4cccc5nonc45)C3)nc12
341,0.0,CID2349729,C=C(C)c1cccc(C(C)(C)NC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)c1
342,0.0,CID893490,Cc1nc2cc(NC(=O)Nc3nccs3)ccc2n1C
343,0.0,CID894147,CC(C)(C)c1csc(NC2=NS(=O)(=O)c3ccccc32)n1
344,0.0,CID866989,CC(=O)c1c(C)[nH]c(C(=O)NCc2ccccc2Cl)c1C
345,0.0,CID3238567,CC1CCOC2(O1)C(=O)N(CN1CCN(c3ccccc3F)CC1)c1ccccc12
346,0.0,CID2877970,COc1cc2c(cc1NCc1ccccn1)oc1ccccc12
348,0.0,CID645265,COc1ccc(OC)c(-n2nnnc2SCC(=O)Nc2nc(C)c(C)s2)c1
349,0.0,CID645266,O=C(Cc1ccccc1)N1CCC(c2nc3ccccc3[nH]2)CC1
350,0.0,CID645267,O=C(CSc1nnc(-c2ccncc2)o1)Oc1ccccc1
351,0.0,CID645262,CCc1cccc(NC(=O)c2snc3c(=O)nc[nH]c23)c1
352,0.0,CID645268,COCCNC(=O)CN(C(=O)Cn1nnc2ccccc21)c1ccccc1
354,0.0,CID570153,CC(=O)c1n[nH]nc1NC(=O)c1ccccc1
356,0.0,CID653555,O=C(Nc1ccccc1-c1ccccc1)C1CCCN(c2ncccn2)C1
357,0.0,CID2123450,COC(=O)c1nc(NC2=NCCCCC2)n[nH]1
359,0.0,CID2353872,OCCn1nc2c3ccccc3nc-2n(-c2ccccc2)c1=S
360,0.0,CID3000188,CC1CCCCC12NC(=O)N(Cn1nnc3ccccc3c1=O)C2=O
361,0.0,CID3236863,COc1ccc(OC)c(S(=O)(=O)N2CCCCC2C(=O)N2CCN(c3ccccn3)CC2)c1
362,0.0,CID2188417,CCn1c(CNC(=O)COc2c(C)cccc2C)nnc1SCC(=O)Nc1nccs1
363,0.0,CID3242433,COc1ccc2cc3cc(C(=O)NCCCN4CCOCC4)oc3nc2c1
364,0.0,CID3242436,CCCCCn1c(CN2CCN(Cc3ccccc3)CC2)nc2c1c(=O)[nH]c(=O)n2C
366,0.0,CID3243744,Cn1c(=O)c2c(ncn2Cc2cccc(Cl)c2)n(C)c1=O
367,0.0,CID1305251,COc1ccc(-c2nc3cc(C(C)C)ccc3o2)cc1NC(=O)c1cccnc1
